"","mtry","RMSE","RMSESD","Rsquared","RsquaredSD","NUTS1","CM"
"181",2,0.00557090136349257,0.00227572366999882,0.773829569755506,0.19432183882272,"NW","CM4"
"182",27,0.00501505706443064,0.00218563522275509,0.776379377685123,0.215848607946429,"NW","CM4"
"183",52,0.0051683353276574,0.00224784063150462,0.749306811885554,0.228317073645852,"NW","CM4"
"184",77,0.00530605172333144,0.00231093075481444,0.729339786862193,0.236616636325688,"NW","CM4"
"185",102,0.00540402181851262,0.00237706752629771,0.717609213520945,0.243739091466873,"NW","CM4"
"186",127,0.00550344070258911,0.00246518029793386,0.705230354797709,0.251561610310944,"NW","CM4"
"187",152,0.00560865241436957,0.00252025833293942,0.690831674492374,0.256843330299491,"NW","CM4"
"188",177,0.00570249844069496,0.00260350857433854,0.679504274237845,0.262555173428138,"NW","CM4"
"189",202,0.00577411495947693,0.00264074313022014,0.672800006427662,0.266770418194744,"NW","CM4"
"190",227,0.00584365868255575,0.00266852816163417,0.664105698541851,0.271156685366829,"NW","CM4"
"191",2,0.0033083341007863,0.00153825274112334,0.888819110395829,0.100770384536604,"NE","CM4"
"192",27,0.00309667674412561,0.00130557218599953,0.857870384090256,0.123095805925674,"NE","CM4"
"193",52,0.00320985916478257,0.0013979258403049,0.841895943503953,0.12735385742625,"NE","CM4"
"194",77,0.0032560516667429,0.00144465086188134,0.830725127787632,0.130906264875312,"NE","CM4"
"195",102,0.0032794060925303,0.0014881903298882,0.822334244504376,0.134620788548719,"NE","CM4"
"196",127,0.00331588991590801,0.00149253624117523,0.81386136525635,0.141966782832495,"NE","CM4"
"197",152,0.00333113318431152,0.00151761102879163,0.806323038615899,0.148941929697782,"NE","CM4"
"198",177,0.00336009552644377,0.00154105910194106,0.797433198580683,0.160533987728149,"NE","CM4"
"199",202,0.00336667319211371,0.0015277042861844,0.793888708827011,0.161478566638332,"NE","CM4"
"200",227,0.00338974037877747,0.00156180095231239,0.787356331615354,0.171624067825501,"NE","CM4"
"201",2,0.0043771301651598,0.00178730107738543,0.823526979518342,0.187053559365272,"MA","CM4"
"202",27,0.00390361303626633,0.00182913270507123,0.799783739180832,0.194241210412997,"MA","CM4"
"203",52,0.00406466586199971,0.00198968838037627,0.785315712905255,0.200013668945389,"MA","CM4"
"204",77,0.00417972728719694,0.00216877472817858,0.77306168891433,0.207935873678918,"MA","CM4"
"205",102,0.00428829317030847,0.00225392175399868,0.762614709563562,0.214229630980152,"MA","CM4"
"206",127,0.00435583338318659,0.00234692005224733,0.757676712778334,0.216730472238911,"MA","CM4"
"207",152,0.00441395014949758,0.00244789693442608,0.749102610041778,0.226113506511322,"MA","CM4"
"208",177,0.00444721278385218,0.00247459052372635,0.745559332833116,0.227023305638899,"MA","CM4"
"209",202,0.00454894566167777,0.00254371343616756,0.736045212167907,0.231957398632901,"MA","CM4"
"210",227,0.00455549719601878,0.00258867331097855,0.736166905345067,0.234557008854435,"MA","CM4"
"211",2,0.00605515656594406,0.00438647493103303,0.831110262682439,0.167914464247887,"CE","CM4"
"212",27,0.0069597648350907,0.00428999971896828,0.668048223040387,0.229671528745543,"CE","CM4"
"213",52,0.00759191419801565,0.00439358191379991,0.585474641061884,0.259903594612416,"CE","CM4"
"214",77,0.00796972396817188,0.00448669685795782,0.540485919535843,0.271227597090795,"CE","CM4"
"215",102,0.00827939613121723,0.00452820447225059,0.502276179509283,0.279414353143854,"CE","CM4"
"216",127,0.00857047076445322,0.00453515407926674,0.473501767577184,0.280350313680564,"CE","CM4"
"217",152,0.00876270667678147,0.00457191883756646,0.456869749468002,0.284719044478402,"CE","CM4"
"218",177,0.00890913994818252,0.00458346733416004,0.444479549324787,0.290279088820495,"CE","CM4"
"219",202,0.00905325499073898,0.00460543324579751,0.436575941021522,0.289316713530428,"CE","CM4"
"220",227,0.00912878284484328,0.00459869529752514,0.429433641580216,0.289928323930514,"CE","CM4"
"221",2,0.00273439133065271,0.000962668640560613,0.856019867153592,0.0853366331461311,"E","CM4"
"222",27,0.00249749172447609,0.000903580586681522,0.860089787894258,0.0836240612284253,"E","CM4"
"223",52,0.00251004853219233,0.000875003308152817,0.858591292916837,0.0787480796515521,"E","CM4"
"224",77,0.00251180372089462,0.000879767716422866,0.857981251679958,0.0791665220060425,"E","CM4"
"225",102,0.00252504338436699,0.000866491625569274,0.855516493505223,0.0803556129686577,"E","CM4"
"226",127,0.00254885096768741,0.000860184745634519,0.852639428485459,0.077685576381369,"E","CM4"
"227",152,0.00255753313234558,0.000852339598473598,0.851196165391135,0.0793527837517534,"E","CM4"
"228",177,0.00257636887867927,0.000849256268835119,0.848425763173374,0.0775978421818994,"E","CM4"
"229",202,0.00259179629196688,0.000842304260668782,0.846367569691523,0.0796524374791114,"E","CM4"
"230",227,0.00259309666742777,0.000845049607596301,0.845925646751583,0.0790495451743914,"E","CM4"
"231",2,0.00115214764439922,0.000404354814385186,0.972035491712021,0.0252184320670543,"S","CM4"
"232",27,0.000990485462733007,0.000475437125035291,0.97268953635166,0.0296150111143253,"S","CM4"
"233",52,0.000990064801265912,0.000475939641316379,0.972205549854262,0.0298589829833223,"S","CM4"
"234",77,0.00099892040169659,0.000486171364065101,0.97128391452548,0.0310863115201683,"S","CM4"
"235",102,0.00101444813814095,0.000527833452800299,0.969311034192089,0.0346809193041704,"S","CM4"
"236",127,0.00102626601741947,0.00056474723609595,0.967491271581526,0.0387072837142691,"S","CM4"
"237",152,0.00104378376332166,0.000597431468484581,0.965927147753184,0.0409546908115366,"S","CM4"
"238",177,0.00105183254204719,0.000639484746443719,0.964276742679979,0.0454499764570256,"S","CM4"
"239",202,0.0010637688927705,0.000676216529155316,0.962582241139398,0.0495082959376913,"S","CM4"
"240",227,0.00108920137655515,0.000714854106485305,0.960226406509033,0.054353600621586,"S","CM4"
