"","mtry","AUC","AUCSD","Precision","PrecisionSD","Recall","RecallSD","F","FSD","NUTS1","CM"
"116",127,0.900788633295392,0.0451128599100736,0.986387254901961,0.0285084631370959,0.954916666666667,0.0554478902882244,0.969244445889051,0.0312805317573889,"S","CM4"
"117",152,0.901588139846428,0.040959309895694,0.987637254901961,0.0276793259579271,0.955,0.0554179133919399,0.969934101061465,0.0315754175006244,"S","CM4"
"118",177,0.893941927343549,0.0510590847307815,0.987490196078431,0.0252860743917443,0.95375,0.0550860618155737,0.969211960299001,0.030094761794844,"S","CM4"
"119",202,0.907130986583069,0.036687746714912,0.986387254901961,0.0285084631370959,0.953666666666667,0.0551142906514599,0.968599284598728,0.0309643156890761,"S","CM4"
"120",227,0.908562731869199,0.042123299060567,0.986387254901961,0.0285084631370959,0.955,0.0520416499866533,0.969392935392379,0.0293458064498307,"S","CM4"
"121",2,0.333505923900661,0.223852024409191,1,0,0.69,0.415146888192011,0.923076923076923,0.142277598306118,"NW","CM2"
"122",27,0.333337885862847,0.230147324389847,0.958333333333333,0.139790356138221,0.77,0.352975688588738,0.888636363636364,0.161220022643585,"NW","CM2"
"123",52,0.332984230230554,0.230629633287077,0.961240310077519,0.125130668752051,0.77,0.367145636454183,0.905426356589147,0.147811232498791,"NW","CM2"
"124",77,0.33308839689722,0.230491087444088,0.957364341085271,0.141295139604816,0.74,0.367562295150532,0.878294573643411,0.164571549054548,"NW","CM2"
"125",102,0.329231559290383,0.228890641872638,0.948148148148148,0.1874275018838,0.75,0.353553390593274,0.881060606060606,0.163678282679202,"NW","CM2"
"126",127,0.320676003734827,0.226531026184655,0.958333333333333,0.139790356138221,0.75,0.353553390593274,0.873484848484849,0.165746225099101,"NW","CM2"
"127",152,0.31490832696715,0.23092130169074,0.937037037037037,0.198761597999981,0.75,0.353553390593274,0.873484848484849,0.165746225099101,"NW","CM2"
"128",177,0.316745448179272,0.22477784645805,0.937984496124031,0.162744548645093,0.74,0.367562295150532,0.869767441860465,0.170714953717198,"NW","CM2"
"129",202,0.319301003734827,0.225117836134718,0.922480620155039,0.213154802558081,0.72,0.380118134161431,0.871428571428571,0.172432214963617,"NW","CM2"
"130",227,0.319334733893557,0.22507810125756,0.904761904761905,0.221300838609308,0.71,0.392402334137725,0.866666666666667,0.169803808359334,"NW","CM2"
"131",2,0.651702964519141,0.117808857947217,1,0,0.651666666666667,0.241458390193862,0.762380952380952,0.188682639409537,"NE","CM2"
"132",27,0.63511053414487,0.139729600592485,0.986666666666667,0.0659828879073858,0.685,0.241810302142448,0.782380952380952,0.183671579733288,"NE","CM2"
"133",52,0.618908150913414,0.151596683766369,0.96,0.113239256672325,0.673333333333333,0.272948958208028,0.755523809523809,0.211549554333344,"NE","CM2"
"134",77,0.614808570189476,0.15867525322851,0.96,0.131750812688161,0.67,0.258067121996938,0.758666666666667,0.205132081147502,"NE","CM2"
"135",102,0.594230214549588,0.166893763381254,0.898333333333333,0.184650494146813,0.656666666666667,0.256789881194529,0.731714285714286,0.209558284114957,"NE","CM2"
"136",127,0.588116499749968,0.168802483063803,0.89,0.190803290568087,0.651666666666667,0.262277872760327,0.723428571428571,0.213466396097714,"NE","CM2"
"137",152,0.570252417564438,0.174062468831214,0.883333333333333,0.196338363124651,0.673333333333333,0.245619213796358,0.738095238095238,0.200501476906427,"NE","CM2"
"138",177,0.554661471621724,0.182495240176512,0.868333333333333,0.216319711739533,0.661666666666667,0.256110139643314,0.725,0.214472572670224,"NE","CM2"
"139",202,0.556326987963017,0.175946049036653,0.836666666666667,0.233867222053499,0.65,0.255883157859579,0.709428571428571,0.221579757576273,"NE","CM2"
"140",227,0.544021932860168,0.176170106334097,0.817,0.231123893114178,0.655,0.250288948663598,0.705333333333333,0.213894232615277,"NE","CM2"
"141",2,0.132036290322581,0.220411001730877,1,0,0.65,0.454568645048495,0.952380952380952,0.118345267082788,"MA","CM2"
"142",27,0.123731559290383,0.209813551718187,0.921296296296296,0.180326472500028,0.67,0.447327666052891,0.906481481481481,0.157120809740835,"MA","CM2"
"143",52,0.126491660300484,0.212464914122334,0.898148148148148,0.196306279071307,0.67,0.447327666052891,0.896296296296296,0.166529043708865,"MA","CM2"
"144",77,0.131491660300484,0.21236903848126,0.880952380952381,0.241087638214239,0.64,0.463350706863624,0.904901960784314,0.155728407486867,"MA","CM2"
"145",102,0.136592670401494,0.212105775931062,0.884259259259259,0.238445509546579,0.65,0.454568645048495,0.898095238095238,0.158617980902375,"MA","CM2"
"146",127,0.136505063563887,0.212147159531558,0.877450980392157,0.243808252227501,0.6,0.462910049886276,0.881818181818182,0.164800154457121,"MA","CM2"
"147",152,0.136537114845938,0.212131402904477,0.877450980392157,0.243808252227501,0.6,0.462910049886276,0.881818181818182,0.164800154457121,"MA","CM2"
"148",177,0.136574993633817,0.212113092127068,0.862745098039216,0.25116090136786,0.6,0.462910049886276,0.871717171717172,0.167523052336009,"MA","CM2"
"149",202,0.136630549189373,0.212087452816416,0.858585858585859,0.253863248268726,0.58,0.466860989667663,0.867708333333333,0.16858771899642,"MA","CM2"
"150",227,0.136620448179272,0.212091563598901,0.843434343434343,0.288492832628671,0.56,0.469910977239958,0.874193548387097,0.167267733360789,"MA","CM2"
"151",2,0.638569856069856,0.074854375960249,1,0,0.833333333333333,0.225876975726313,0.89,0.159399382888724,"CE","CM2"
"152",27,0.633984126984127,0.0697472693055297,1,0,0.773333333333333,0.25590531128656,0.846,0.186492873420768,"CE","CM2"
"153",52,0.610781746031746,0.0980387199450585,1,0,0.706666666666667,0.282842712474619,0.822916666666667,0.181295084879371,"CE","CM2"
"154",77,0.582746031746032,0.121670543361397,0.993197278911565,0.0476190476190476,0.713333333333333,0.260907191081957,0.815646258503401,0.178872761628504,"CE","CM2"
"155",102,0.557880952380952,0.130004187359611,0.986111111111111,0.0673136455078196,0.706666666666667,0.27470866860678,0.819444444444444,0.176092783051182,"CE","CM2"
"156",127,0.543406084656085,0.139307436873039,0.94421768707483,0.131257760811476,0.713333333333333,0.260907191081957,0.794509232264334,0.180200377206065,"CE","CM2"
"157",152,0.516738095238095,0.165746878493127,0.951020408163265,0.125065175752249,0.713333333333333,0.260907191081957,0.797230320699708,0.179233789395439,"CE","CM2"
"158",177,0.509825757575758,0.169053347762183,0.930612244897959,0.141844126546811,0.713333333333333,0.260907191081957,0.789067055393586,0.181993609337262,"CE","CM2"
"159",202,0.513260332260332,0.160136690992456,0.937414965986395,0.136826236969394,0.713333333333333,0.260907191081957,0.79178814382896,0.181120080254491,"CE","CM2"
"160",227,0.49993253968254,0.164822372339101,0.918707482993197,0.159303775045553,0.713333333333333,0.260907191081957,0.782264334305151,0.183285051635906,"CE","CM2"
"161",2,0.708333333333333,0.0420896893563421,1,0,0.938333333333333,0.154128741428198,0.960095238095238,0.104376399991525,"E","CM2"
